"id","ts","title","_yf_slug","_image","price","part_number","overview"
"41199","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60632","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60632.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60632","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60632_a.jpg&w=200&h=200","$217.99","CRT60632",""
"41200","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60637","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60637.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60637","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60637_a.jpg&w=200&h=200","$217.99","CRT60637",""
"41201","2017-09-15 23:53:45","DrawTite DrawTite Gooseneck Rail Kit - 4435","/Towing/DrawTite-Gooseneck-Rail-Kit-4435.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4435","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4435_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4435",""
"41202","2017-09-15 23:53:45","Reese Reese Elite Under-Bed Gooseneck Accessories Kit - 30137","/Towing/Reese-Elite-Under-Bed-Gooseneck-Accessories-Kit-30137.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=RES30137","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/RES/RES_30137_PIC_4_1_72.jpg&w=200&h=200","$212.99","RES30137",""
"41203","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60604","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60604.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60604","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60604_a.jpg&w=200&h=200","$217.99","CRT60604",""
"41204","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60635","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60635.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60635","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60635_a.jpg&w=200&h=200","$217.99","CRT60635",""
"41205","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60641","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60641.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60641","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60641_a.jpg&w=200&h=200","$217.99","CRT60641",""
"41206","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing Under-Bed Double Lock Gooseneck Install Kit - 60647","/Towing/CURT-Manufacturing-Under-Bed-Double-Lock-Gooseneck-Install-Kit-60647.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60647","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60647_a.jpg&w=200&h=200","$238.99","CRT60647",""
"41207","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60657","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60657.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60657","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60657_a.jpg&w=200&h=200","$217.99","CRT60657",""
"41208","2017-09-15 23:53:45","Curt Manufacturing CURT Manufacturing Under-Bed Double Lock Gooseneck Install Kit - 60660","/Towing/CURT-Manufacturing-Under-Bed-Double-Lock-Gooseneck-Install-Kit-60660.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60660","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60660_a.jpg&w=200&h=200","$238.99","CRT60660",""
